,topics
0,-1
1,-1
2,1
3,0
4,1
5,-1
6,-1
7,0
8,0
9,-1
10,1
11,-1
12,0
13,-1
14,-1
15,-1
16,0
17,-1
18,-1
19,0
20,-1
21,-1
22,-1
23,0
24,-1
25,-1
26,0
27,0
28,-1
29,0
30,-1
31,-1
32,0
33,-1
34,0
35,0
36,-1
37,1
38,0
39,0
40,-1
41,0
42,-1
43,1
44,-1
45,-1
46,-1
47,-1
48,1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,0
59,-1
60,1
61,0
62,-1
63,0
64,0
65,0
66,0
67,0
68,-1
69,-1
70,-1
71,-1
72,0
73,-1
74,0
75,-1
76,0
77,1
78,-1
79,1
80,1
81,0
82,0
83,-1
84,-1
85,-1
86,-1
87,0
88,0
89,-1
90,-1
91,1
92,-1
93,1
94,1
95,-1
96,-1
97,-1
98,-1
99,-1
